Set_Number	OneWayAcc	TwoWayAcc	FiveWayAcc	ChiMaxs	ChiSums
601	0.508667	0.514667	0.684333	3.25333230059346	11.3087043832639
602	0.509667	0.516	0.691333	2.91648472048777	11.4039482548103
603	0.51	0.518667	0.671667	2.71304707196564	7.49295186737841
604	0.510333	0.517	0.686333	2.38690920829224	7.7664379500425
605	0.508	0.516667	0.696333	3.6456030893644	12.4285756978297
606	0.513667	0.521667	0.699667	2.98163802641038	8.38294635208022
607	0.514667	0.523333	0.695	2.3991808640806	8.68808157124887
608	0.508667	0.513	0.69	5.14383163672876	12.2273458097384
609	0.511	0.515333	0.704333	3.81968232243255	14.8945410429831
610	0.507333	0.515	0.687667	6.30326186858632	24.9786786881618
611	0.511	0.519667	0.708	4.68118718884128	16.2821101597817
612	0.506667	0.512667	0.681333	7.45908440336552	24.1812098805198
613	0.509333	0.516667	0.702	4.92886527047158	19.2013341886208
614	0.513333	0.520333	0.693	3.22968754016988	9.17735502350692
615	0.507667	0.514333	0.681	6.098068115232	26.9251881634071
616	0.510333	0.518	0.697	0.443619008065455	1.48368628132496
617	0.508333	0.518	0.696667	2.73659809134529	10.4631897555121
618	0.508	0.517	0.693667	4.69695379402228	15.9658777708758
619	0.509	0.516	0.688	2.13441526145994	9.1328265598496
620	0.511667	0.519	0.697	2.61653552985532	9.35166857744325
621	0.515333	0.520667	0.696667	1.53451348803877	6.26737369946252
622	0.515	0.522	0.687	1.28096511444198	3.15621639805013
623	0.511333	0.518667	0.691	4.26558963068869	10.5460042978598
624	0.516333	0.523	0.689	1.71724490770116	5.68436214146468
625	0.509	0.519	0.707	5.87743712880414	19.5560060567061
626	0.513333	0.519667	0.691	3.07436231645058	9.4434076989917
627	0.513333	0.519333	0.69	1.53451348803877	5.32001037494538
628	0.514	0.520333	0.697	4.05593427223707	11.523579702943
629	0.514667	0.519333	0.701333	3.43628468273382	15.0907972129418
630	0.510333	0.518333	0.687	4.02706007684659	15.4293719465831
631	0.517	0.523	0.693333	0.859508157523617	2.55817795960691
632	0.509667	0.516667	0.675333	2.70892160502945	10.808209838473
633	0.509667	0.512333	0.686667	6.40258524703748	27.0620565763296
634	0.505667	0.514333	0.699667	9.08783240384936	36.4645010019666
635	0.509667	0.518333	0.703	5.42076360512988	20.1584869593111
636	0.514667	0.519	0.687667	2.67515756740041	9.28300828966108
637	0.510333	0.516	0.685	1.50377923809285	5.50997074241478
638	0.512	0.519333	0.704333	3.76795176097935	16.4177312285171
639	0.512333	0.519333	0.695667	2.71304707196564	10.223063607444
640	0.509333	0.517333	0.705667	7.6959955650928	22.8186068400329
641	0.508	0.515	0.710667	8.96115504793285	33.1422312903388
642	0.514	0.521	0.702333	2.22836426333021	7.57320507466818
643	0.504	0.510667	0.675667	6.12356745726354	25.1637663353177
644	0.509	0.515333	0.690667	1.80248819135973	7.54897172645214
645	0.511667	0.518	0.699667	2.02199989000306	7.75168115301568
646	0.512333	0.516333	0.698	1.65427190596489	6.09639883209429
647	0.507	0.515333	0.69	4.27638005520023	17.902036540172
648	0.509667	0.518667	0.692	4.43969300539705	17.8325580751309
649	0.507333	0.515333	0.693	5.79506420399137	21.4124392456138
650	0.515	0.520667	0.694667	1.30139510868898	3.47406264465572
651	0.509667	0.515333	0.69	4.81018561939417	18.8276413456394
652	0.515667	0.521	0.693333	4.65645832737623	15.3941903937337
653	0.508667	0.514	0.674667	2.73044882410571	10.4261064508343
654	0.509667	0.516667	0.691667	2.72438203862047	9.36812041379864
655	0.510333	0.521333	0.689	4.88302913356509	14.4711710121284
656	0.509667	0.516	0.679333	2.69396370775748	9.68783617737787
657	0.515	0.521	0.687	1.49903899134684	5.55511666568214
658	0.512333	0.519	0.7	4.70287229424223	17.2593187297951
659	0.514	0.522333	0.707333	1.91959344523761	6.60711134430657
660	0.510667	0.516333	0.686667	4.60270508333145	16.1615854081931
661	0.508667	0.516667	0.682667	1.77262083289452	5.94076032836405
662	0.508667	0.517333	0.698333	2.99985194802153	9.59000201426
663	0.512667	0.518	0.688	1.27235363400659	4.08392907150258
664	0.512667	0.522333	0.695667	1.9428433592422	8.19406145819809
665	0.513333	0.52	0.691667	2.70892160502945	10.4180129619958
666	0.510333	0.52	0.698667	4.78569203592078	14.1978270368977
667	0.509667	0.515333	0.695333	7.19381220543361	25.9428857896492
668	0.509333	0.514333	0.689667	4.26666666666667	17.0149112544097
669	0.511	0.518	0.702333	3.25949268297158	13.7773527999958
670	0.511	0.516333	0.680667	1.66456210043388	5.65637201016383
671	0.505667	0.515667	0.693	3.92387479629476	16.6586644535249
672	0.517667	0.525667	0.696667	1.44222102037137	5.66000044104402
673	0.509333	0.514667	0.688667	3.84964060387912	10.7924368802924
674	0.510667	0.519	0.691667	4.42488390419736	14.4710867395801
675	0.508333	0.516333	0.695333	3.64910349814574	15.3480250444619
676	0.51	0.517333	0.699667	3.4013605442177	10.4268729496825
677	0.516667	0.523333	0.692	1.80106068414748	6.30135957343198
678	0.515667	0.525667	0.701333	2.45670173987003	8.31144415598068
679	0.512	0.520333	0.707667	4.26235924661815	13.2095802796894
680	0.511333	0.519	0.704	3.65060413416592	11.8903969286366
681	0.508	0.516667	0.692667	4.69948989191895	15.956629120934
682	0.513	0.517333	0.684333	3.07689868121236	9.5108258792431
683	0.509333	0.515333	0.690667	2.3991808640806	8.53667540300182
684	0.512333	0.519333	0.695333	3.64910349814574	12.1665327218444
685	0.511667	0.518667	0.685	1.94358357263748	7.33347141253704
686	0.505	0.512333	0.69	5.88119332052473	16.6124890607426
687	0.507	0.514333	0.684667	8.05136013252857	28.6748843335527
688	0.509667	0.516	0.689667	3.4316674473755	9.78210329074162
689	0.509667	0.516667	0.690667	4.01501266019604	15.1184972326886
690	0.513667	0.522667	0.689	2.53941564404495	8.60293157611424
691	0.514	0.523333	0.701667	2.90394391491253	11.3497615172523
692	0.517333	0.522667	0.693	1.28687290467919	3.31316151740495
693	0.508	0.516667	0.693	6.66368028672993	27.5900890692676
694	0.509333	0.518	0.692333	5.38309156448198	23.0430339756168
695	0.510333	0.517	0.69	3.94618219966056	14.0924909442234
696	0.509333	0.516	0.694667	2.71304707196564	9.75055791066595
697	0.513333	0.522	0.699667	2.85700626983149	10.6190488739308
698	0.515	0.522	0.696333	3.13681990579617	11.6876857622032
699	0.511	0.519333	0.689667	3.4013605442177	12.899013696551
700	0.513333	0.521	0.687667	1.17596371226381	3.75133969933298
