Set_Number	OneWayAcc	TwoWayAcc	ThreeWayAcc	ChiMaxs	ChiSums
401	0.502667	0.507333	0.656667	0.568396715346771	1.23320983339661
402	0.501333	0.51	0.657667	0.450462294357813	1.10076964674858
403	0.507667	0.514333	0.678333	1.38191146422795	3.09418182720717
404	0.502	0.505333	0.666	0.265545208875549	0.616718034561127
405	0.505333	0.511333	0.676	0.657832827675559	1.64741797442948
406	0.507667	0.516333	0.671	0.510909634666791	1.03404792507289
407	0.503667	0.507	0.686667	1.26888655742632	3.18757528994362
408	0.504667	0.508	0.641	2.21178878607028	5.05988446119051
409	0.510667	0.513667	0.678333	2.81041641380684	8.04565241926134
410	0.505667	0.515333	0.670667	2.30268747067042	4.919271852963
411	0.505	0.509333	0.653	3.07136601497987	8.02843970647879
412	0.510667	0.513667	0.682333	0.730736706263842	1.90775740608485
413	0.503667	0.506667	0.655667	0.263239464907741	0.488038029226907
414	0.502	0.509	0.690667	1.06652824128222	2.62781167298357
415	0.502	0.505	0.674667	1.28687290467919	3.14048983429003
416	0.505333	0.512333	0.668	1.53335777674253	3.45655320916061
417	0.504333	0.508667	0.659667	0.77040085386117	1.53010674172666
418	0.506	0.509667	0.661	0.259695290858725	0.592766706646984
419	0.503	0.505	0.706667	0.263239464907739	0.659116721119683
420	0.504667	0.509333	0.712667	0.296811494803201	0.770810470897188
421	0.505	0.511667	0.673	0.521104636049527	0.59060144321446
422	0.504333	0.516667	0.665	3.35913425526009	9.45773398517965
423	0.502667	0.511	0.659	0.764034465919504	1.69975408667902
424	0.503	0.504667	0.714333	0.843870868772403	1.33666638049768
425	0.503333	0.506667	0.684333	0.596841863339499	1.43161923536865
426	0.504	0.508667	0.674333	3.20235718224769	6.1179157077606
427	0.506	0.510333	0.66	1.66147192269359	4.28076800669687
428	0.503	0.509333	0.706667	1.16593371937969	2.59353536724985
429	0.503	0.507667	0.687	0.767096619136406	1.87109693344803
430	0.502	0.507	0.65	0.87567299598122	2.40514003326938
431	0.502667	0.505333	0.698333	0.263239464907739	0.518883500220614
432	0.501333	0.505667	0.707667	0.37564762580204	0.497515784794698
433	0.501333	0.508	0.682667	0.962370389614384	2.59092897727571
434	0.505	0.507333	0.688	0.843870868772403	1.3957231472582
435	0.503333	0.509	0.677667	1.62561753347784	3.35140115558451
436	0.506333	0.509667	0.675667	1.06945789952179	1.30270520351283
437	0.503	0.510667	0.656667	0.902707574062703	1.53752289234027
438	0.502333	0.508	0.738	0.828254810607029	1.72333109252645
439	0.502333	0.505333	0.706333	0.449554514013027	1.21255712909173
440	0.501	0.508333	0.677	0.500907312371397	1.26395969232854
441	0.501333	0.509	0.669667	2.5626138337303	5.55955131310943
442	0.504	0.508333	0.701	0.484291488183449	0.7628657272918
443	0.502333	0.505333	0.747	0.16864639671467	0.281104197044988
444	0.504	0.512	0.690333	0.920971359883064	1.94281125755903
445	0.504333	0.514	0.677333	0.0959914553687697	0.194162790846646
446	0.502667	0.504667	0.736667	0.360104550449537	0.63033309555208
447	0.502667	0.507667	0.717	0.106873953214552	0.2905854113548
448	0.501667	0.503667	0.694333	1.06542114387052	2.69048131882573
449	0.505333	0.51	0.681667	0.566576471180071	1.26056942953183
450	0.501	0.504	0.761333	0.552614190339313	1.16782579541171
451	0.509	0.516667	0.666333	1.16553480734228	2.89707153397278
452	0.501333	0.505	0.691667	0.908079850966126	2.05265397332466
453	0.505	0.513333	0.653667	2.63536728672795	5.67030938178403
454	0.501667	0.506667	0.685333	0.259695290858725	0.654524220343763
455	0.503	0.505	0.646667	2.87931420455646	6.78897030200131
456	0.503667	0.51	0.678	1.24713134116548	3.35280159292738
457	0.502	0.506	0.694667	0.264146620352127	0.520363269490556
458	0.503667	0.509333	0.664667	1.52544385488382	3.35723946280614
459	0.506333	0.51	0.666667	0.809743163566982	2.11163493779116
460	0.509333	0.513667	0.680667	0.592470269550978	1.12723629574548
461	0.505667	0.509	0.670667	2.37527786326185	6.35021335253037
462	0.501667	0.508333	0.669667	1.536	3.56470969907952
463	0.503333	0.511	0.685	1.05782456268062	1.8290969941775
464	0.504333	0.511333	0.661	1.50377923809285	3.6701449810708
465	0.503333	0.503667	0.702333	0.215226085597059	0.376829887616729
466	0.504333	0.512667	0.653667	0.673675775320615	1.85955332451837
467	0.508	0.511	0.653333	0.858528009410184	2.11947424833707
468	0.503333	0.506667	0.717	0.0867093536093923	0.173797766335601
469	0.503667	0.507	0.715667	0.434257483929642	0.909060339571782
470	0.504667	0.508	0.688	0.187737408151642	0.302418357980776
471	0.507333	0.512333	0.664667	3.48964657019662	9.43726014645054
472	0.502667	0.505333	0.763	0.130358637583259	0.340540249381626
473	0.501	0.506	0.665667	4.24488020814477	8.69472270537507
474	0.503	0.509	0.684333	0.958687002970265	2.86032017200935
475	0.506333	0.515333	0.671	4.05277989723192	11.6909289783852
476	0.506667	0.512	0.666667	1.26106434447142	3.36687501946372
477	0.501	0.505333	0.664	3.81968232243253	8.36907400337598
478	0.506333	0.513667	0.674	4.05067758753662	8.34457566057583
479	0.504	0.509667	0.682	2.52498417188955	6.53432065961957
480	0.503333	0.510333	0.672	1.40967595558794	3.68733143822494
481	0.502667	0.510333	0.665667	1.55666810709865	4.48889534819396
482	0.504667	0.509667	0.672667	0.629792105145434	1.32749436124133
483	0.503667	0.508667	0.687667	0.682666666666667	1.89141749058371
484	0.504	0.509333	0.663667	0.669256862947167	1.49983724748188
485	0.504667	0.506667	0.681667	1.29066666666667	2.64966149746856
486	0.503667	0.508	0.663667	0.583773347556252	1.12386898888148
487	0.506333	0.508	0.676333	0.902707574062703	2.31291114367512
488	0.507	0.515	0.672333	0.297846288472483	0.755918372185372
489	0.502667	0.506	0.670333	2.22836426333021	5.6339573639908
490	0.503	0.513	0.665333	0.726365845357831	1.49986447160077
491	0.506667	0.511667	0.707667	0.254937455257006	0.416420402583573
492	0.505	0.512	0.660667	1.26106434447141	3.63865251787927
493	0.504667	0.506	0.677667	1.03614383528626	2.37147580574349
494	0.502	0.512333	0.641333	2.90349525191556	7.07910158562621
495	0.505333	0.509667	0.653667	0.51915526041354	0.880486082717075
496	0.503333	0.511	0.669	0.671575057313809	1.68216995361479
497	0.501	0.507333	0.667667	1.04339338071277	1.83456512545108
498	0.501667	0.507667	0.702	0.318345332549722	0.757639529949423
499	0.502667	0.508667	0.645	1.89391224739517	5.1361771452968
500	0.505333	0.511333	0.675333	1.80195281464521	4.95444215804463
